prompt_id,prompt,family,engine,run,date,cited,position,sentiment,cited_url,note
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,chatgpt,1,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,chatgpt,2,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,chatgpt,3,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,perplexity,1,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,perplexity,2,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,perplexity,3,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,gemini,1,2026-09-08,no,none,none,,
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,gemini,2,2026-09-08,yes,first,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
cat-01,Quel outil de SEO pour une petite equipe en France ?,category-discovery,gemini,3,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,chatgpt,1,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,chatgpt,2,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,chatgpt,3,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,perplexity,1,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,perplexity,2,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,perplexity,3,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,gemini,1,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,gemini,2,2026-09-08,no,none,none,,
cat-02,Meilleur plugin SEO WordPress en 2026,category-discovery,gemini,3,2026-09-08,no,none,none,,
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,chatgpt,1,2026-09-08,yes,passing,positive,https://exemple.fr/guides/comparatif/,cite comme source principale
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,chatgpt,2,2026-09-08,no,none,none,,
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,chatgpt,3,2026-09-08,no,none,none,,
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,perplexity,1,2026-09-08,no,none,none,,
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,perplexity,2,2026-09-08,yes,passing,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,perplexity,3,2026-09-08,no,none,none,,
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,gemini,1,2026-09-08,yes,first,neutral,https://exemple.fr/guides/comparatif/,cite comme source principale
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,gemini,2,2026-09-08,no,none,none,,
cmp-01,"Yoast ou Rank Math, lequel choisir ?",comparison,gemini,3,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,chatgpt,1,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,chatgpt,2,2026-09-08,no,none,none,,
cmp-02,Alternative francaise a Semrush,comparison,chatgpt,3,2026-09-08,no,none,none,,
